date_time_month,sentiment_weighted_agg_carosia_by_month_with_op,sentiment_agg_carosia_by_month_with_op,sentiment_agg_picault_by_month_with_op,sentiment_weighted_agg_carosia_by_month_with_sentilex,sentiment_agg_carosia_by_month_with_sentilex,sentiment_agg_picault_by_month_with_sentilex,sentiment_weighted_agg_carosia_by_month_with_vader,sentiment_agg_carosia_by_month_with_vader,sentiment_agg_picault_by_month_with_vader,normalized_sentiment_weighted_agg_carosia_by_month_with_op,normalized_sentiment_agg_carosia_by_month_with_op,normalized_sentiment_agg_picault_by_month_with_op,normalized_sentiment_weighted_agg_carosia_by_month_with_sentilex,normalized_sentiment_agg_carosia_by_month_with_sentilex,normalized_sentiment_agg_picault_by_month_with_sentilex,normalized_sentiment_weighted_agg_carosia_by_month_with_vader,normalized_sentiment_agg_carosia_by_month_with_vader,normalized_sentiment_agg_picault_by_month_with_vader
2009-01-01,-0.10067114093959731,-0.10067114093959731,-0.030871750854251857,0.3582089552238806,0.3582089552238806,0.4748713571746983,-0.6666666666666666,-0.6657381615598886,-25.790478260869566,-0.8304,-1.2663,-0.7428,0.9647,1.5994,0.5782,0.0674,0.1039,0.688
2009-02-01,0.0379746835443038,0.02564102564102564,0.03623822515867973,0.3684210526315789,0.3617021276595745,0.5780668751677828,-0.7872340425531915,-0.7849462365591398,-31.552357954545457,-0.2601,-0.4292,-0.6068,1.0026,1.6204,0.8023,-0.3807,-0.4203,0.1963
2009-03-01,-0.06930693069306931,-0.06060606060606061,-0.34433009270671605,0.19791666666666666,0.2,0.2613282170268502,-0.6461538461538462,-0.6477495107632094,-26.42137987012987,-0.7014,-1.0008,-1.378,0.371,0.6486,0.1144,0.1436,0.183,0.6342
2009-04-01,-0.08629441624365482,-0.08163265306122448,-0.4072032406591231,-0.017543859649122806,-0.01775147928994083,-0.1781066692672113,-0.7455968688845401,-0.7485265225933202,-32.04221666666667,-0.7713,-1.1401,-1.5054,-0.4271,-0.66,-0.8399,-0.2259,-0.2601,0.1544
2009-05-01,0.023255813953488372,0.02830188679245283,0.13885814504345179,0.22950819672131148,0.24166666666666667,0.5220954319916628,-0.676320272572402,-0.6793103448275862,-29.3953791130186,-0.3207,-0.4115,-0.3988,0.488,0.899,0.6808,0.0315,0.0442,0.3803
2009-06-01,-0.14391143911439114,-0.13857677902621723,-0.37014404185453,0.13013698630136986,0.13793103448275862,0.19812032348335956,-0.7160963244613435,-0.7124518613607189,-25.726525172754194,-1.0083,-1.5175,-1.4303,0.1199,0.2756,-0.0228,-0.1163,-0.1015,0.6935
2009-07-01,-0.23163841807909605,-0.2342857142857143,-0.9046727825144029,0.05904761904761905,0.06358381502890173,-0.04863942087182171,-0.6669470142977292,-0.6641091219096334,-22.73928754813864,-1.3691,-2.1519,-2.5136,-0.1434,-0.1712,-0.5587,0.0663,0.1111,0.9484
2009-08-01,0.034013605442176874,0.037037037037037035,0.16979391296863997,0.1827956989247312,0.1880108991825613,0.3724976845864725,-0.6181292189006751,-0.6237816764132553,-26.53123244929797,-0.2764,-0.3537,-0.3361,0.315,0.5766,0.3559,0.2478,0.2884,0.6248
2009-09-01,0.06723891273247497,0.07445255474452554,0.19018923013451056,0.1858678955453149,0.19561815336463223,0.35965863958446453,-0.7627715795654727,-0.7625298329355609,-29.218367441860465,-0.1398,-0.1057,-0.2948,0.3263,0.6223,0.328,-0.2898,-0.3217,0.3955
2009-10-01,-0.0034129692832764505,-0.007017543859649123,0.04593593570085149,0.14754098360655737,0.15422885572139303,0.21667666377774847,-0.6380327868852459,-0.636849132176235,-23.155528414755732,-0.4304,-0.6456,-0.5871,0.1844,0.3736,0.0175,0.1738,0.2309,0.9129
2009-11-01,-0.03493862134088763,-0.015717092337917484,-0.029274110569697493,-0.08559498956158663,-0.07475622968580715,-0.3813501845283186,-0.6524064171122995,-0.6444035006909259,-25.69519397363465,-0.5601,-0.7033,-0.7395,-0.6792,-1.0025,-1.2813,0.1204,0.1977,0.6962
2009-12-01,0.09192200557103064,0.1001410437235543,0.3425702100132867,0.20332936979785968,0.20435308343409916,0.44413418229177876,-0.6699532952776336,-0.6654392425039453,-22.91073916408669,-0.0383,0.0646,0.014,0.391,0.6748,0.5115,0.0552,0.1052,0.9338
2010-01-01,0.11050477489768076,0.10714285714285714,0.3528002900553613,0.15934755332496864,0.1569620253164557,0.25676355803867706,-0.6623492630638678,-0.6629010393131496,-33.204302707136996,0.0382,0.111,0.0348,0.2281,0.39,0.1045,0.0834,0.1164,0.0553
2010-02-01,0.40486725663716816,0.40401785714285715,1.9663413986627143,0.6464174454828661,0.6503937007874016,2.7135057919349967,-0.7863175675675675,-0.7887082976903336,-37.55530067702111,1.249,2.0785,3.3047,2.0323,3.3553,5.4399,-0.3773,-0.4368,-0.3161
2010-03-01,0.3246753246753247,0.32463768115942027,1.1225730552246505,0.22660098522167488,0.22676579925650558,0.47076868818154116,-0.8251716247139588,-0.8257261410788381,-40.18708654670094,0.9191,1.5524,1.5948,0.4772,0.8095,0.5693,-0.5217,-0.5996,-0.5407
2010-04-01,0.367816091954023,0.372960372960373,1.3097816913973985,0.28825622775800713,0.2831541218637993,0.6106889357965369,-0.8216867469879519,-0.8248885285772193,-40.93215228043724,1.0966,1.8727,1.9742,0.7056,1.1483,0.8732,-0.5087,-0.5959,-0.6043
2010-05-01,0.235370611183355,0.24110671936758893,0.6464813331713347,0.44761904761904764,0.45689655172413796,1.12434274132746,-0.8464977645305514,-0.8453373768006065,-43.55528472977874,0.5518,0.9988,0.6299,1.2959,2.1924,1.9887,-0.6009,-0.6858,-0.8282
2010-06-01,0.09025270758122744,0.09202453987730061,0.3039070739851052,0.08842105263157894,0.09284951974386339,0.35053811438045146,-0.7706734867860188,-0.7693974859124404,-38.29912653061225,-0.0451,0.0108,-0.0643,-0.0346,0.0047,0.3082,-0.3191,-0.3519,-0.3796
2010-07-01,0.011884550084889643,0.010309278350515464,0.026298411672135844,0.14796747967479676,0.14332784184514002,0.17871978799150742,-0.814663951120163,-0.813690169840453,-40.03329144514258,-0.3675,-0.5308,-0.6269,0.186,0.3081,-0.065,-0.4826,-0.5467,-0.5276
2010-08-01,0.23572474377745242,0.22822822822822822,0.8890172230508364,0.17551020408163265,0.17777777777777778,0.33741318010815974,-0.7293600390815828,-0.7296758104738155,-34.16443681318681,0.5532,0.9135,1.1215,0.288,0.5151,0.2797,-0.1656,-0.1772,-0.0267
2010-09-01,0.25894134477825465,0.2590448625180897,0.7326156506971122,0.17598908594815826,0.17679558011049723,0.3884346819495412,-0.7800904977375566,-0.7806333180357963,-38.1379843953186,0.6487,1.1177,0.8045,0.2898,0.5092,0.3905,-0.3541,-0.4013,-0.3658
2010-10-01,0.15902140672782875,0.17004680187207488,0.4497694286783354,0.1739674593241552,0.1770700636942675,0.40554132069469645,-0.8299349240780911,-0.8303886925795053,-40.89887658876589,0.2377,0.5279,0.2313,0.2823,0.5108,0.4276,-0.5394,-0.6201,-0.6015
2010-11-01,0.18843802112284602,0.18665158371040724,0.6413956448676579,0.23092573753814852,0.23316062176165803,0.5935307789848312,-0.837015036198255,-0.8374291115311909,-43.21568849557522,0.3587,0.6379,0.6196,0.4932,0.8479,0.8359,-0.5657,-0.6511,-0.7992
2010-12-01,0.0867579908675799,0.08715901530272788,0.38295015318924797,0.27608232789212206,0.27521613832853026,0.6155007132187542,-0.8415150760029902,-0.8395342951151608,-40.73670944309927,-0.0595,-0.0215,0.0959,0.6605,1.1006,0.8836,-0.5824,-0.6603,-0.5876
2011-01-01,0.23579545454545456,0.2413793103448276,0.6855109249210756,0.31592039800995025,0.3189326556543837,0.5398573447167204,-0.7558039552880481,-0.7554585152838428,-35.259568796550376,0.5535,1.0006,0.709,0.8081,1.3633,0.7193,-0.2639,-0.2906,-0.1202
2011-02-01,0.333994053518335,0.3319959879638917,0.8999663181070933,-0.053604436229205174,-0.061567164179104475,-0.3343494932105336,-0.8009756097560976,-0.8,-37.124314781567925,0.9574,1.6012,1.1436,-0.5607,-0.9233,-1.1792,-0.4317,-0.4865,-0.2793
2011-03-01,0.6667955160417472,0.6684782608695652,1.8246108396844547,-0.3891918691125434,-0.39889613647767186,-1.119034649442298,-0.8605208021550435,-0.8624226881882637,-38.956025995575224,2.3263,3.8313,3.0175,-1.8038,-2.9504,-2.8833,-0.653,-0.761,-0.4356
2011-04-01,-0.3506300963676798,-0.35115070527097253,-0.7503314960833927,-0.48394180620367827,-0.48609198567887635,-1.3539436728909247,0.16722129783693843,0.1721928113680691,-3.629087987143432,-1.8586,-2.9264,-2.2008,-2.1547,-3.4744,-3.3935,3.1664,3.7885,2.5795
2011-05-01,0.2280978689818469,0.22673031026252982,0.8983495353619345,0.23694171082513246,0.24064171122994651,0.3080280202681735,-0.8183250196902074,-0.8177470775770457,-39.60109738012852,0.5219,0.9036,1.1404,0.5155,0.8929,0.2159,-0.4962,-0.5645,-0.4907
2011-06-01,0.19721115537848605,0.1942397856664434,0.7081147780117453,-0.04054054054054054,-0.0427596119295724,-0.11182749252845887,-0.42533499102085925,-0.4217439910564561,-25.15495332088557,0.3948,0.6882,0.7548,-0.5123,-0.8102,-0.6959,0.9643,1.1768,0.7423
2011-07-01,0.1563050591492575,0.1564245810055866,0.5321317420702137,0.35362113706062753,0.3544847328244275,0.7469798909561663,-0.9122453236909811,-0.9136781528528318,-60.39856465902067,0.2266,0.4376,0.3982,0.9477,1.577,1.1691,-0.8453,-0.9863,-2.2657
2011-08-01,0.09020709020709021,0.08936771458848464,0.2933033900376997,0.17412587412587413,0.16966490299823633,0.34895255122512997,-0.8779705979882834,-0.8775464766781699,-55.69749571734476,-0.0453,-0.0068,-0.0858,0.2829,0.4663,0.3047,-0.7179,-0.8275,-1.8645
2011-09-01,0.042735042735042736,0.04169424222369292,0.15245952194223342,0.10821998817267889,0.1124330755502677,0.3844645724860196,-0.8249245364381199,-0.8237981292147052,-46.319344969199186,-0.2406,-0.3228,-0.3712,0.0387,0.1224,0.3819,-0.5207,-0.5911,-1.0641
2011-10-01,0.02086230876216968,0.01680672268907563,0.09185932886100157,-0.07125890736342043,-0.07211538461538461,-0.13935105682227614,-0.8098081023454158,-0.8101374570446735,-41.74625592417062,-0.3305,-0.4877,-0.4941,-0.6261,-0.9867,-0.7557,-0.4646,-0.531,-0.6738
2011-11-01,0.05622119815668203,0.05772811918063315,0.3058742839894418,0.2792149866190901,0.27583108715184185,0.6586709416019768,-0.7522508537721204,-0.7513310366426558,-40.68486743515851,-0.1851,-0.2165,-0.0603,0.6721,1.1043,0.9774,-0.2507,-0.2725,-0.5832
2011-12-01,0.15739868049010367,0.15939278937381404,0.40818066025770694,0.09991460290350128,0.10398613518197573,0.21109603120520723,-0.7596095179987797,-0.7626387176325524,-39.93998312236287,0.2311,0.4573,0.147,0.008,0.0716,0.0054,-0.278,-0.3222,-0.5196
2012-01-01,0.019083969465648856,0.019305019305019305,0.2004998018145075,-0.03622047244094488,-0.03492063492063492,-0.04624999772514911,-0.7627118644067796,-0.7658752070679182,-38.84456301303718,-0.3378,-0.4712,-0.2739,-0.4963,-0.7631,-0.5535,-0.2895,-0.3364,-0.4261
2012-02-01,0.24662162162162163,0.2461799660441426,0.8284525128510263,0.189873417721519,0.19489981785063754,0.3579858557738922,-0.7936419408812047,-0.7941507311586051,-40.0628534438115,0.5981,1.0325,0.9987,0.3412,0.618,0.3244,-0.4045,-0.4607,-0.5301
2012-03-01,-0.029159519725557463,-0.02413793103448276,-0.029821145067863573,0.03234880450070324,0.03125,-0.11181594959254532,-0.6771561771561772,-0.6774573278399059,-32.94620867768595,-0.5363,-0.7591,-0.7406,-0.2423,-0.3655,-0.6959,0.0284,0.0524,0.0773
2012-04-01,-0.05434782608695652,-0.0546448087431694,-0.13422081732462554,0.0776255707762557,0.07586206896551724,0.21936229039252333,-0.7452574525745257,-0.7459016393442623,-34.13718946765884,-0.6399,-0.9613,-0.9522,-0.0746,-0.0974,0.0233,-0.2247,-0.2486,-0.0244
2012-05-01,-0.09957924263674614,-0.10099573257467995,-0.16582326706582554,0.2276595744680851,0.22943722943722944,0.8289447112476472,-0.815242494226328,-0.8133836003770029,-36.8852876376989,-0.8259,-1.2685,-1.0163,0.4811,0.8255,1.3472,-0.4848,-0.5453,-0.2589
2012-06-01,0.030525030525030524,0.014962593516209476,0.09858483864643657,0.17038539553752535,0.18503118503118504,0.4381511425049901,-0.7957166392092258,-0.7990622906898861,-43.98567831287378,-0.2908,-0.5,-0.4804,0.269,0.5587,0.4985,-0.4122,-0.4823,-0.8649
2012-07-01,0.1913477537437604,0.19594594594594594,0.39689476771496335,0.02535211267605634,0.032904148783977114,0.14502076764231098,-0.8794402583423035,-0.878721859114016,-46.801194947080916,0.3707,0.6995,0.1241,-0.2682,-0.3555,-0.1381,-0.7233,-0.8326,-1.1052
2012-08-01,0.3347022587268994,0.33884297520661155,0.8349203444394474,0.10297029702970296,0.1031031031031031,0.24081960299667365,-0.752979414951246,-0.7540029112081513,-35.826268844221104,0.9604,1.6466,1.0118,0.0193,0.0663,0.0699,-0.2534,-0.2842,-0.1685
2012-09-01,0.12423124231242312,0.09669211195928754,0.16948874467921243,-0.059469350411710885,-0.05698529411764706,-0.04643853757407851,-0.8662016487000634,-0.8803363518758085,-45.36757530120482,0.0946,0.0417,-0.3367,-0.5824,-0.8957,-0.5539,-0.6741,-0.8397,-0.9829
