word_en,word_pt,polarity
ABANDON,ABANDONARs;ABANDONAR,-1
ABANDONED,ABANDONADO;ABANDONADOs,-1
ABANDONING,Abandonando;Abandonandos;Abandonanda;Abandonandas,-1
ABANDONMENT,ABANDONO;ABANDONOs,-1
ABANDONMENTS,Abandono;Abandona;Abandonos;Abandonas,-1
ABANDONS,Abandono;Abandona;Abandonos;Abandonas,-1
ABDICATED,ABDICADOs;ABDICADO,-1
ABDICATES,Abdicos;Abdico;Abdicas;Abdica,-1
ABDICATING,Abdicandos;Abdicandas;Abdicando;Abdicanda,-1
ABDICATION,ABDICAÇÃOs;ABDICAÇÃO,-1
ABDICATIONS,Abdicações;Abdicaçõess,-1
ABERRANT,ABERRANTEs;ABERRANTE,-1
ABERRATION,ABERRAÇÃOs;ABERRAÇÃO,-1
ABERRATIONAL,Aberra;Aberro;Aberras;Aberros,-1
ABERRATIONS,Aberrações;Aberraçõess,-1
ABETTING,Incentivandos;Incentivanda;Incentivandas;Incentivando,-1
ABLE,CAPAZ;CAPAZs,1
ABNORMAL,ANORMAL;ANORMALs,-1
ABNORMALITIES,Anormalidades;Anormalidadess,-1
ABNORMALITY,ANORMALIDADE;ANORMALIDADEs,-1
ABNORMALLY,ANORMALMENTE;ANORMALMENTEs,-1
ABOLISH,ABOLIRs;ABOLIR,-1
ABOLISHED,Abolidas;Abolido;Abolida;Abolidos,-1
ABOLISHES,Aboles;Abole,-1
ABOLISHING,ABOLIÇÃOs;ABOLIÇÃO,-1
ABROGATE,REVOGARs;REVOGAR,-1
ABROGATED,Revogados;Revogada;Revogadas;Revogado,-1
ABROGATES,Revogas;Revoga;Revogo;Revogos,-1
ABROGATING,Revogando;Revoganda;Revogandas;Revogandos,-1
ABROGATION,REVOGAÇÃO;REVOGAÇÃOs,-1
ABROGATIONS,Revogações;Revogaçõess,-1
ABRUPT,Abrupto;Abrupta;Abruptos;Abruptas,-1
ABRUPTLY,ABRUPTAMENTEs;ABRUPTAMENTE,-1
ABRUPTNESS,ASPEREZA;ASPEREZAs,-1
ABSENCE,AUSÊNCIA;AUSÊNCIAs,-1
ABSENCES,Ausências;Ausênciass,-1
ABSENTEEISM,ABSENTISMO;ABSENTISMOs,-1
ABUNDANCE,ABUNDÂNCIAs;ABUNDÂNCIA,1
ABUNDANT,ABUNDANTEs;ABUNDANTE,1
ABUSE,ABUSOs;ABUSO,-1
ABUSED,ABUSADOs;ABUSADO,-1
ABUSES,Abusoss;Abusos,-1
ABUSING,Abusando;Abusandas;Abusanda;Abusandos,-1
ABUSIVE,ABUSIVOs;ABUSIVO,-1
ABUSIVELY,Abusivamentes;Abusivamente,-1
ABUSIVENESS,Abusãa;Abusão;Abusãos;Abusãas,-1
ACCIDENT,ACIDENTE;ACIDENTEs,-1
ACCIDENTAL,ACIDENTAL;ACIDENTALs,-1
ACCIDENTALLY,ACIDENTALMENTE;ACIDENTALMENTEs,-1
ACCIDENTS,Acidentes;Acidentess,-1
ACCLAIMED,ACLAMADO;ACLAMADOs,1
ACCOMPLISH,CONCLUIR;CONCLUIRs,1
ACCOMPLISHED,REALIZADO;REALIZADOs,1
ACCOMPLISHES,Realizas;Realizos;Realiza;Realizo,1
ACCOMPLISHING,Realizaçãos;Realizaçãas;Realização;Realizaçãa,1
ACCOMPLISHMENT,REALIZAÇÃOs;REALIZAÇÃO,1
ACCOMPLISHMENTS,Realizações;Realizaçõess,1
ACCUSATION,ACUSAÇÃOs;ACUSAÇÃO,-1
ACCUSATIONS,Acusações;Acusaçõess,-1
ACCUSE,ACUSAR;ACUSARs,-1
ACCUSED,ACUSADO;ACUSADOs,-1
ACCUSES,Acusa;Acusos;Acuso;Acusas,-1
ACCUSING,Acusando;Acusandos;Acusanda;Acusandas,-1
ACHIEVE,ALCANÇARs;ALCANÇAR,1
ACHIEVED,ALCANÇOU;ALCANÇOUs,1
ACHIEVEMENT,CONQUISTA;CONQUISTAs,1
ACHIEVEMENTS,Realizações;Realizaçõess,1
ACHIEVES,Alcanço;Alcanços;Alcança;Alcanças,1
ACHIEVING,Alcançanda;Alcançandos;Alcançando;Alcançandas,1
ACQUIESCE,Aquiesces;Aquiesce,-1
ACQUIESCED,Concordous;Concordou,-1
ACQUIESCES,Concordams;Concordam,-1
ACQUIESCING,Concordandas;Concordando;Concordanda;Concordandos,-1
ACQUIT,ABSOLVER;ABSOLVERs,-1
ACQUITS,Diretass;Diretas,-1
ACQUITTAL,ABSOLVIÇÃOs;ABSOLVIÇÃO,-1
ACQUITTALS,Abittoss;Abittos,-1
ACQUITTED,ABSOLVIDO;ABSOLVIDOs,-1
ACQUITTING,Absolviçãa;Absolviçãos;Absolvição;Absolviçãas,-1
ADEQUATELY,Adequadamente;Adequadamentes,1
ADULTERATE,ADULTERAR;ADULTERARs,-1
ADULTERATED,Adulterada;Adulterados;Adulteradas;Adulterado,-1
ADULTERATING,Adulterandas;Adulterandos;Adulteranda;Adulterando,-1
ADULTERATION,ADULTERAÇÃOs;ADULTERAÇÃO,-1
ADULTERATIONS,Adulteraçõess;Adulterações,-1
ADVANCEMENT,AVANÇO;AVANÇOs,1
ADVANCEMENTS,Avanços;Avançoss,1
ADVANCES,Avanços;Avançoss,1
ADVANCING,Avançando;Avançandos;Avançandas;Avançanda,1
ADVANTAGE,VANTAGEMs;VANTAGEM,1
ADVANTAGED,Vantagems;Vantagem,1
ADVANTAGEOUS,VANTAJOSO;VANTAJOSOs,1
ADVANTAGEOUSLY,Vantajosas;Vantajosos;Vantajoso;Vantajosa,1
ADVANTAGES,Vantagens;Vantagenss,1
ADVERSARIAL,Adversária;Adversárias;Adversário;Adversários,-1
ADVERSARIES,Adversários;Adversárioss,-1
ADVERSARY,ADVERSÁRIOs;ADVERSÁRIO,-1
ADVERSE,ADVERSO;ADVERSOs,-1
ADVERSELY,Adversamente;Adversamentes,-1
ADVERSITIES,Adversidadess;Adversidades,-1
ADVERSITY,ADVERSIDADEs;ADVERSIDADE,-1
AFTERMATH,After;Afters,-1
AFTERMATHS,Aftermaths;Aftermathss,-1
AGAINST,CONTRA;CONTRAs,-1
AGGRAVATE,AGRAVARs;AGRAVAR,-1
AGGRAVATED,Agravada;Agravado;Agravadas;Agravados,-1
AGGRAVATES,Agravos;Agravo;Agrava;Agravas,-1
AGGRAVATING,AGRAVANTEs;AGRAVANTE,-1
