,datetime,username,content,display name,user description,verified,follower count,friends count,statuses count,favourites count,listed count,media count,location,protected,outlinks,tcooutlinks,reply count,retweet count,like count,quote count,lang,source,media,retweeted tweet,quoted tweet,mentioned users
0,2022-11-15 19:59:05+00:00,ffarias_85,"@neoliberaisbr @jonesmanoel_PCB Leu só a manchete? Na matéria diz que ele foi anunciado ainda em 2014.
""Quando o nome de Levy foi anunciado para o comando da Fazenda, ainda em 2014, juntamente com Nelson Barbosa no Planejamento e a permanência de Alexandre Tombini no Banco Central...()"".",Fabi,Analista de sistemas e desenvolvedora web/mobile.,False,23,172,2188,4583,0,271,,False,[],[],3,0,0,0,pt,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,"[User(username='neoliberaisbr', id=1277524712663416832, displayname='Neoliberais Brasil 🌐', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]"
1,2022-11-12 21:33:23+00:00,MarlonDias2020,"@Ana_Flor Acabei de ouvir seu comentário.  
Você também achou grave quando Paulo Guedes impediu que Alexandre Tombini assumisse a função de Vice Presidente do BID quando foi convidado?
Brasil perdeu essa posição pelo viés ideológico do governo atual.",MarlonDias,"Justiça para Bruno e Dom! Não esqueceremos!  

O Estandarte do Sanatório geral vai passar",False,378,1130,20536,65238,0,4751,,False,[],[],0,0,0,0,pt,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",,,,"[User(username='Ana_Flor', id=45859414, displayname='Ana Flor', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]"
2,2022-11-11 20:26:02+00:00,VBalassiano,"Guido Mantega tentando barra a nomeação deste homem é um escárnio.

Fez um trabalho excepcional para consertar a DRAGA que ele, a sra. Dilma e o seu Alexandre Tombini colocaram o país.

Se tivesse o MÍMINO de vergonha na cara ia pra casa.

https://t.co/W2H0leZRQc",VB,"Flamengo, Mercado financeiro e Finanças.",False,69,742,1659,15319,0,63,,False,['https://g1.globo.com/economia/noticia/2022/11/11/guido-mantega-diz-que-pediu-adiamento-de-eleicao-de-presidente-do-bid-e-contesta-indicacao-de-ilan-goldfajn-por-bolsonaro.ghtml'],['https://t.co/W2H0leZRQc'],0,0,0,0,pt,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,https://twitter.com/FariaLimaElevat/status/1141147944483246080,
3,2022-11-11 13:08:33+00:00,JessicaoLacra,"Agora vamos para as narrativas que podemos usar para ocultar o fato 🤗

""O PIX foi criado em 2016, durante o governo Temer, então é uma conquista do Temer!""

""O presidente do Banco Central na época era o Alexandre Tombini, indicado pela Dilma, então devemos isso à Dilma!"".",Prof. Jessique,"Aulas sobre socialisme, feminisme, arte com miçangas... Esquerdismo no geral 🌈 Antiga 'Jessicão, a feminista' do Face (personagem satírico)",False,35046,0,4998,2647,39,1628,,False,[],[],6,7,184,0,pt,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",,,,
4,2022-11-01 23:22:27+00:00,Matheus012fx,"@_TellMeULMe_ @cellicantelli @JonathansEdson @louieponto Não só a Dilma, como diversas liderancas que estava com ela, irei citar nomes para você, Arnaldo Hugo; Guido Mantega; Marcus Aucélio; Alexandre Tombini; Jorge Hereda; Aldemir Bendine; Luciano Coutinho. Todos multados por conta das pedalada dada por eles e por Dilma.+",Matheus Mendes,Insta: matheus012.tmt,False,14,54,2702,2936,0,599,,False,[],[],1,0,1,0,pt,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",,,,"[User(username='_TellMeULMe_', id=758078228909162496, displayname='Ammy', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='cellicantelli', id=1532137003977957381, displayname='marcelli 🚩', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='JonathansEdson', id=345090324, displayname='John Havock', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='louieponto', id=50129112, displayname='louie ponto', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]"
5,2022-10-12 18:17:17+00:00,HarrisonVolks,"@mmmdsz @mizaelizidoro @DamaresAlves O PT nunca foi comunista em 14 anos de governo basta ver os ministros da fazenda banco central… Meireles, Arminio Fraga, Joaquim Levy, Alexandre Tombini! Todos liberais",Ijones🇧🇷,🍱 🍫 🍻 ⚽️ 🎵 😗 ☕️🏖,False,29,190,1476,13707,0,103,"Goiânia, Brasil",False,[],[],1,0,0,0,pt,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,"[User(username='mmmdsz', id=1556271873268269057, displayname='Mari_2°conta 🇧🇷🇧🇷', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='mizaelizidoro', id=91025970, displayname='Mizael Izidoro Bello | 🅜🅘🅑', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='DamaresAlves', id=1083774484123975680, displayname='Damares Alves', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]"
6,2022-09-29 22:18:53+00:00,th_anato,"@extse1_shawty Dilma:
Presidente do Bacen: Alexandre Tombini
Ministros da Fazenda: Nelson Barbosa e Joaquim Levy 

Temer:
Presidente do Bacen: Ilan Goldfajn
Ministro da Fazenda: Meirelles e Guardia

Você acha que o fator ""ser vice da Dilma"" significa ALGUMA coisa? Jkkkkkkk que piada",cortes lacanianos,caRIOca,False,169,519,7481,22176,0,642,"Rio de Janeiro, Brasil",False,[],[],2,0,0,0,pt,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",,,,
7,2022-09-28 16:43:46+00:00,SigefredoSouza,"@mantunespb @ValdoCruz Quem criou a Nova Matriz Macro econômica que levou o ´país para o Buraco foi Dilma, com o auxílio luxuoso de Mantega na Fazenda, Alexandre Tombini no BC e Arnoud Agostini no Planejamento!!!",Sigefredo Souza,🇧🇷🇧🇷🇧🇷,False,145,1800,80282,63994,1,818,Contagem - MG - Brasil,False,[],[],0,0,0,0,pt,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,"[User(username='mantunespb', id=56360800, displayname='Marcio Antunes', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='ValdoCruz', id=43554342, displayname='Valdo Cruz', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]"
8,2022-09-23 20:01:55+00:00,mariothepaula,"@lauraabcarvalho Esqueçam:
A Dilma
O Meirelles
O Alexandre Tombini
O Levy
O Romero Jucá
O Eliseu Padilha
O Moreira Franco
O Temer
O Geddel
O Bob Jef.
O Valdemar da Costa
O Calheiros
O Temer
O Eduardo Cunha
.
.
.
Fixem mais em dar o cheque em branco p/ o Lula.
deixem ele passar a mão na sua bunda",Mário de Paula 🇧🇷🇵🇸🇾🇪,"""Ele é a imagem do Deus Invisível, o primogênito de toda a criação""",False,213,425,7301,12896,1,98,Araporã,False,[],[],0,0,0,0,pt,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,"[User(username='lauraabcarvalho', id=4400597716, displayname='Laura Carvalho', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]"
9,2022-09-23 19:59:29+00:00,mariothepaula,"@JetherjrLee @AndradeRNegro2 Esqueçam:
A Dilma
O Meirelles
O Alexandre Tombini
O Levy
O Romero Jucá
O Eliseu Padilha
O Moreira Franco
O Temer
O Geddel
O Bob Jef.
O Valdemar da Costa
O Calheiros
O Temer
O Eduardo Cunha
.
.
.
Fixem mais em dar o cheque em branco p/ o Lula.
deixem ele passar a mão na sua bunda",Mário de Paula 🇧🇷🇵🇸🇾🇪,"""Ele é a imagem do Deus Invisível, o primogênito de toda a criação""",False,213,425,7301,12896,1,98,Araporã,False,[],[],1,0,0,0,pt,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,"[User(username='JetherjrLee', id=306176591, displayname='Jether Júnior', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='AndradeRNegro2', id=1176618139494342656, displayname='Andrade', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]"
