,datetime,username,content,display name,user description,verified,follower count,friends count,statuses count,favourites count,listed count,media count,location,protected,outlinks,tcooutlinks,reply count,retweet count,like count,quote count,lang,source,media,retweeted tweet,quoted tweet,mentioned users
0,2012-12-31 16:24:08+00:00,alagoas360graus,"Projeção para crescimento da economia este ano cai e fica abaixo de 1%: No último boletim Focus do ano, o Banco ... http://t.co/cntS9fyH",Alagoas 360 Graus,As noticias dos principais portais de noticias de Alagoas estão aqui!,False,1200,9,416228,0,17,0,Maceió Alagoas,False,['http://bit.ly/TZASJR'],['http://t.co/cntS9fyH'],0,0,0,0,pt,"<a href=""http://twitterfeed.com"" rel=""nofollow"">twitterfeed</a>",,,,
1,2012-12-31 16:23:51+00:00,UchoInfo,Banco Central revê para baixo o crescimento do PIB em 2012 e derruba discu http://t.co/ywEEXe1M #banco_central #boletim_focus #pib @uchoinfo,Ucho.info,"Há 20 anos produzindo jornalismo de qualidade e independente! UCHO.INFO - ""A Marca da Notícia""",False,2536,1252,37680,33,111,7253,Brasil,False,['http://bit.ly/VumfJJ'],['http://t.co/ywEEXe1M'],0,0,0,0,pt,"<a href=""http://ucho.info"" rel=""nofollow"">wp twitteer</a>",,,,"[User(username='UchoInfo', id=39525281, displayname='Ucho.info', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]"
2,2012-12-31 16:12:26+00:00,alagoas360graus,"Projeção para crescimento da economia este ano cai e fica abaixo de 1%: No último boletim Focus do ano, o Banco ... http://t.co/iCWygOIM",Alagoas 360 Graus,As noticias dos principais portais de noticias de Alagoas estão aqui!,False,1200,9,416228,0,17,0,Maceió Alagoas,False,['http://bit.ly/TZxkHt'],['http://t.co/iCWygOIM'],0,0,0,0,pt,"<a href=""http://twitterfeed.com"" rel=""nofollow"">twitterfeed</a>",,,,
3,2012-12-31 15:03:33+00:00,Conttroller,"Boletim Focus

PIB vai crescer 0,98% em 2012, diz mercado",Joao Falcao Castanho,"CONTROLLER CONTABIL  -  Administrador, Contador, Consultor de Finanças, Períto Contabil e Perito Judicial.",False,528,1774,2850,462,2,1049,Mosqueiro / Belém - PA,False,[],[],0,0,0,0,pt,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",,,,
4,2012-12-31 14:16:12+00:00,104Bandfm,"ProjeÃ§Ã£o para crescimento da economia este ano fica abaixo de 1%: No &amp;uacute;ltimo boletim Focus do ano, o Ban... http://t.co/xz6LkPxL",104BANDFM,,False,245,242,102197,0,2,8,Região da Grande Dourados,False,['http://bit.ly/Z4cCYj'],['http://t.co/xz6LkPxL'],0,0,0,0,pt,"<a href=""http://twitterfeed.com"" rel=""nofollow"">twitterfeed</a>",,,,
5,2012-12-31 14:16:10+00:00,adilsonbombom,"ProjeÃ§Ã£o para crescimento da economia este ano fica abaixo de 1%: No &amp;uacute;ltimo boletim Focus do ano, o Ban... http://t.co/LrYy88i8",Adilson Bombom,"Nascido aos, 9 de março de 1971.",False,1147,1739,169207,17,4,22513,"Campo Grande, MS, Brasil.",False,['http://bit.ly/Z4cCYj'],['http://t.co/LrYy88i8'],0,0,0,0,pt,"<a href=""http://twitterfeed.com"" rel=""nofollow"">twitterfeed</a>",,,,
6,2012-12-31 14:13:51+00:00,All_noticia,"Crescimento da economia brasileira deve ficar abaixo de 1%: 
No último boletim Focus do ano, o Banco Central in... http://t.co/0YPe1I9i",All News,,False,69,273,135114,0,2,0,,False,['http://bit.ly/YFNxxY'],['http://t.co/0YPe1I9i'],0,0,0,0,pt,"<a href=""http://twitterfeed.com"" rel=""nofollow"">twitterfeed</a>",,,,
7,2012-12-31 14:13:28+00:00,Vitoria_online,Projeção para crescimento da economia este ano cai e fica abaixo de 1%: Brasília - No último boletim Focus do an... http://t.co/x3U8MQ2X,jornaisemserie,,False,544,1021,74437,0,4,0,,False,['http://bit.ly/YFNsdK'],['http://t.co/x3U8MQ2X'],0,0,0,0,pt,"<a href=""http://twitterfeed.com"" rel=""nofollow"">twitterfeed</a>",,,,
8,2012-12-31 14:08:05+00:00,todoimoveis,"Projeção para crescimento da economia este ano cai e fica abaixo de 1%: No último boletim Focus do ano, o Banco ... http://t.co/9JbeYfL8",Todoimóveis,Todoimoveis.com - O Maior Portal de Imoveis de Natal RN Brasil. Toda nossa Força de Vendas estará trabalhando na divulgação e promoção do seu imóvel!,False,2100,2398,3304,0,10,9,Natal - Brasil,False,['http://bit.ly/TYX5I7'],['http://t.co/9JbeYfL8'],0,0,0,0,pt,"<a href=""http://twitterfeed.com"" rel=""nofollow"">twitterfeed</a>",,,,
9,2012-12-31 14:01:15+00:00,GVitoriaNews,Projeção para crescimento da economia este ano cai e fica abaixo de 1%: Brasília - No último boletim Focus do an... http://t.co/xJnakpN5,Noticias de Vitoria,,False,600,1473,54081,0,1,0,,False,['http://adf.ly/Gj1Nd'],['http://t.co/xJnakpN5'],0,0,0,0,pt,"<a href=""http://twitterfeed.com"" rel=""nofollow"">twitterfeed</a>",,,,
