,datetime,username,content,display name,user description,verified,follower count,friends count,statuses count,favourites count,listed count,media count,location,protected,outlinks,tcooutlinks,reply count,retweet count,like count,quote count,lang,source,media,retweeted tweet,quoted tweet,mentioned users
0,2017-12-30 13:30:02+00:00,PerfilNews,"O salário-mínimo atual é de R$ 937. O reajuste de 1,81% segue a previsão do Índice de Preços ao Consumidor (INPC). https://t.co/T1qNex4Mrl",Perfil News,Site de notícias de Três Lagoas e Bolsão Sul-mato-grossense.,False,1045,144,60559,29,14,519,Três Lagoas,False,['https://fb.me/2ZVAMoZw8'],['https://t.co/T1qNex4Mrl'],0,0,0,0,pt,"<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>",,,,
1,2017-12-29 19:17:28+00:00,NewsHortolandia,"O salário-mínimo atual é de R$ 937. O reajuste de 1,81% segue a previsão do Índice de Preços ao Consumidor (INPC). https://t.co/VRBguhXEpg",Notícias Hortolândia 🐦,Notícias de Hortolândia,False,940,1758,14042,16,3,573,Hortolândia - SP,False,['https://fb.me/KghK6lmQ'],['https://t.co/VRBguhXEpg'],0,1,2,1,pt,"<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>",,,,
2,2017-12-29 19:16:55+00:00,monolitos,"O reajuste de 1,81% segue a previsão do Índice de Preços ao Consumidor (INPC). https://t.co/WoHEeYCXPT... https://t.co/M9G5CV4KIm",TV Monólitos,"TV Monólitos e Portal MonólitosPOST  integrantes do Sistema Monólitos, maiores veículos de comunicação do sertão central do Ceará.",False,2244,1383,39156,39,22,1449,Quixadá-CE,False,"['http://bit.ly/2CpbQwg', 'https://fb.me/1pyHXmC3q']","['https://t.co/WoHEeYCXPT', 'https://t.co/M9G5CV4KIm']",0,0,0,0,pt,"<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>",,,,
3,2017-12-29 08:17:34+00:00,SimonSports2,Alerta do Google - Negócios: Negócios Atualização diária ⋅ 29 de dezembro de 2017 NOTÍCIAS Inflação recua em cinco das sete capitais pesquisadas CenárioMT A inflação medida pelo Índice de Preços ao Consumidor – Semanal (IPC-S) fechou a semana encerrada… https://t.co/OsgeoHu1mz,Luis Carlos A Simon,,False,9,261,42596,10,0,7331,"São Paulo, Brasil",False,['http://dlvr.it/Q830lb'],['https://t.co/OsgeoHu1mz'],0,0,0,0,pt,"<a href=""https://dlvrit.com/"" rel=""nofollow"">dlvr.it</a>",,,,
4,2017-12-27 13:00:36+00:00,biabrusin,Inflação recua em cinco das sete capitais pesquisadas - A inflação medida pelo Índice de Preços ao Consumidor - Semanal (IPC-S) fechou a semana ... https://t.co/3BRdI9J7Tp,Bia Brusin,"Carioca, garota de ipanema. Modelo. Cantora de Rock. Fotógrafa. Desenhista. Sonhadora.",False,198,50,76320,0,14,3,Rio de Janeiro,False,['http://ow.ly/RD4n50fVcrG'],['https://t.co/3BRdI9J7Tp'],0,0,0,0,pt,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>",,,,
5,2017-12-27 12:58:46+00:00,jornaloexecutiv,A inflação medida pelo Índice de Preços ao Consumidor - Semanal (IPC-S) fechou a semana encerrada no último dia... https://t.co/hUKxjduCyA,Jornal O Executivo,,False,28,22,6760,0,0,9,,False,['https://fb.me/914D0N4ZQ'],['https://t.co/hUKxjduCyA'],0,0,0,0,pt,"<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>",,,,
6,2017-12-27 12:40:01+00:00,NBNBrasil,A inflação medida pelo Índice de Preços ao Consumidor - Semanal (IPC-S) fechou a semana encerrada no último dia... https://t.co/VzfIjfzZ8g,NBN Brasil,Portal de noticias,False,570,346,23783,338,7,53,"Brasília, DF",False,['https://fb.me/1IkaQVlO4'],['https://t.co/VzfIjfzZ8g'],0,0,0,0,pt,"<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>",,,,
7,2017-12-27 12:17:41+00:00,povojequie,A inflação medida pelo Índice de Preços ao Consumidor - Semanal (IPC-S) fechou a semana encerrada no último dia... https://t.co/geSh83eLU3,Rádio Povo - Jequié,"Emissora de credibilidade na cidade de Jequié pela linha editorial independente, levando sempre os fatos da forma que eles acontecem.",False,225,341,18247,0,4,6128,"Jequié, Brasil",False,['https://fb.me/9kPpwoCBd'],['https://t.co/geSh83eLU3'],0,0,0,0,pt,"<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>",,,,
8,2017-12-26 16:57:20+00:00,lucas_simoesrj,"Índice de preços de casas nos EUA sobe 6,4% em outubro https://t.co/FezgMYl8aa #umRei #TimBeta #RT #SDV",Lucas Simões,,False,1142,37,255885,30,2,209,Brasil - Rio de Janeiro,False,['http://www.valor.com.br/internacional/5237893/indice-de-precos-de-casas-nos-eua-sobe-64-em-outubro'],['https://t.co/FezgMYl8aa'],0,0,0,0,pt,"<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>",,,,
9,2017-12-26 15:51:19+00:00,dulcemrn,"A ceia deste Natal dos brasileiros fico 7,68% mais barata do que no ano passado, e abaixo da inflação média registrada pelo Índice de Preços ao Consumidor no acumulado de janeiro a dezembro deste ano (3,24%), segundo pesquisa divulgada pelo Instituto Brasileiro de Economia",Dulce Maria Rodríguez,"💜Mãe e jornalista 🇻🇪  morando no Brasil🇧🇷
Criadora de #Focandonopositivo.com.br
Editora #OContestador.com.br",False,562,133,5983,278,18,240,"Manaus, Brasil",False,[],[],0,0,0,0,pt,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",,,,
