,datetime,username,content,display name,user description,verified,follower count,friends count,statuses count,favourites count,listed count,media count,location,protected,outlinks,tcooutlinks,reply count,retweet count,like count,quote count,lang,source,media,retweeted tweet,quoted tweet,mentioned users
0,2009-12-30 17:41:11+00:00,investbolsa,Acabamos de postar a retrospectiva de 2009 e expectativas para 2010: http://bit.ly/560U8F #Blog #Mercados #Brasil #Dolar #IPCA #Selic,Bolsa de Valores,,False,21143,8265,27036,4,580,0,Brasil,False,[],[],0,2,0,0,pt,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",,,,
1,2009-12-30 14:20:41+00:00,FECOMERCIO,"Veja as projeções da Fecomercio para a Taxa de Câmbio, o IPCA e o PIB de 2010. http://ow.ly/R5hJ",FecomercioSP,"Federação do Comércio de Bens, Serviços e Turismo de SP. Reúne líderes empresariais, especialistas e consultores para fomentar o empreendedorismo.",False,9095,506,31672,3046,160,3941,"R. Dr Plínio Barreto,285 SP-BR",False,[],[],0,1,0,0,pt,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",,,,
2,2009-12-29 18:53:39+00:00,JORGEELOY,"Expectativas para 2010..US$ 1,74, PIB 5,5%,IPCA 4,6%, SELIC 10,75%. Participação do crédito no PIB 48%.Ameaça maior inflação por consumo.",JORGE ELOY,,False,450,1121,4980,400,6,8,ESPIRITO SANTO-BRASIL,False,[],[],0,0,0,0,pt,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",,,,
3,2009-12-29 09:10:55+00:00,CasosdeCidade,Ônibus intermunicipais serão reajustados pelo IPCA http://bit.ly/5esaeF,Casos de Cidade,,False,758,6,4186,0,33,0,,False,[],[],0,0,0,0,pt,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",,,,
4,2009-12-28 12:26:11+00:00,investbolsa,"RT @uinstante Analistas reduzem previsão para IPCA e elevam preços administrados: Por outro lado, .. http://bit.ly/7XUGHk",Bolsa de Valores,,False,21143,8265,27036,4,580,0,Brasil,False,[],[],0,0,0,0,pt,"<a href=""http://twitterfeed.com"" rel=""nofollow"">twitterfeed</a>",,,,"[User(username='uinstante', id=73415003, displayname='ultimoInstante', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]"
5,2009-12-28 12:24:13+00:00,musicaemercado,Mercado mantém previsão de IPCA no centro da meta em 2010: SÃO PAULO - As estimativas dos analistas financeiros ... http://bit.ly/8FKOKk,Música & Mercado,"Music business, reviews, entrevistas e tudo sobre marcas e personalidades do áudio, luz e instrumentos musicais no mundo.",False,10257,10076,40570,18395,79,2484,Web | Revista | Podcast,False,[],[],0,0,0,0,pt,"<a href=""http://twitterfeed.com"" rel=""nofollow"">twitterfeed</a>",,,,
6,2009-12-28 12:06:03+00:00,valoreconomico,Mercado mantém previsão de IPCA em 2010 http://tinyurl.com/yenmxsz,Valor Econômico,"A mais completa e admirada cobertura de economia, negócios e finanças. Notícias que geram negócios.",True,2624145,147,209693,0,8448,2906,Brasil,False,[],[],0,0,0,0,pt,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",,,,
7,2009-12-27 02:02:41+00:00,pirabeiraba,"IPCA-15 fecha ano com alta de 4,18%: A inflação medida pelo Índice de Preços ao Consumidor-15 (IPCA-15) f... http://tinyurl.com/yaojx9b",Pirabeiraba,"Distrito do município de Joinville, cidade situada ao nordeste do Estado de Santa Catarina.",False,130,0,501099,0,1,0,Brasil,False,[],[],0,0,0,0,pt,"<a href=""http://twitterfeed.com"" rel=""nofollow"">twitterfeed</a>",,,,
8,2009-12-26 18:03:52+00:00,mundonoticiasss,"Prévia da inflação oficial fecha 2009 em 4,18%: IPCA-15 desacelera para 0,38% em dezembro. Alta acumulada em 200... http://bit.ly/8DeIR3",Marcio Teodoro,Por um Brasil mais justo!,False,2581,821,3078781,12,328,492,MG - Brasil,False,[],[],0,0,0,0,pt,"<a href=""http://twitterfeed.com"" rel=""nofollow"">twitterfeed</a>",,,,
9,2009-12-25 18:03:08+00:00,mundonoticiasss,ECONOMIA: Alimentos puxam recuo do IPCA-15 em dezembro http://bit.ly/6ddrYt,Marcio Teodoro,Por um Brasil mais justo!,False,2581,821,3078781,12,328,492,MG - Brasil,False,[],[],0,0,0,0,pt,"<a href=""http://twitterfeed.com"" rel=""nofollow"">twitterfeed</a>",,,,
10,2009-12-25 15:02:32+00:00,pirabeiraba,"Prévia da inflação oficial fecha 2009 em 4,18%: IPCA-15 desacelera para 0,38% em dezembro.
Alta acumulada ... http://tinyurl.com/ygvk6n9",Pirabeiraba,"Distrito do município de Joinville, cidade situada ao nordeste do Estado de Santa Catarina.",False,130,0,501099,0,1,0,Brasil,False,[],[],0,0,0,0,pt,"<a href=""http://twitterfeed.com"" rel=""nofollow"">twitterfeed</a>",,,,
11,2009-12-25 15:02:27+00:00,pirabeiraba,"IPCA-15 sobe 0,38% em dezembro e fecha 2009 em 4,18%: A inflação medida pelo Índice Nacional de Preços ao... http://tinyurl.com/y8p2c2o",Pirabeiraba,"Distrito do município de Joinville, cidade situada ao nordeste do Estado de Santa Catarina.",False,130,0,501099,0,1,0,Brasil,False,[],[],0,0,0,0,pt,"<a href=""http://twitterfeed.com"" rel=""nofollow"">twitterfeed</a>",,,,
12,2009-12-25 15:02:24+00:00,pirabeiraba,"Prévia da inflação oficial fecha 2009 em 4,18%: IPCA-15 desacelera para 0,38% em dezembro.
Alta acumulada ... http://tinyurl.com/ygvk6n9",Pirabeiraba,"Distrito do município de Joinville, cidade situada ao nordeste do Estado de Santa Catarina.",False,130,0,501099,0,1,0,Brasil,False,[],[],0,0,0,0,pt,"<a href=""http://twitterfeed.com"" rel=""nofollow"">twitterfeed</a>",,,,
13,2009-12-25 15:02:12+00:00,mundonoticiasss,"Prévia da inflação oficial, IPCA-15 sobe 0,38% em dezembro: O IPCA-15, prévia da inflação oficial, registrou ... http://bit.ly/5g7uOp",Marcio Teodoro,Por um Brasil mais justo!,False,2581,821,3078781,12,328,492,MG - Brasil,False,[],[],0,0,0,0,pt,"<a href=""http://twitterfeed.com"" rel=""nofollow"">twitterfeed</a>",,,,
14,2009-12-24 06:02:29+00:00,novanota,"#igÚltimoSegundo IPCA-15 fecha ano com alta de 4,18%: A inflação medida pelo Índice de Preços .. http://bit.ly/5Qh2if",Nova nota,"Esse tuiter é feito pelo usuário @henriquepicanco, para quem é viciado em twitter e não quer sair do site para ver as noticias com noticias dos principais sites",False,698,1382,578395,0,23,0,Rio de Janeiro - Brazil,False,[],[],0,0,0,0,pt,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",,,,
