,datetime,username,content,display name,user description,verified,follower count,friends count,statuses count,favourites count,listed count,media count,location,protected,outlinks,tcooutlinks,reply count,retweet count,like count,quote count,lang,source,media,retweeted tweet,quoted tweet,mentioned users
0,2008-12-31 14:33:44+00:00,JornaldoBrasil,China: BC afirma que adotará política monetária mais flexível : REUTERS REUTERS - O Banco Central (BC) da China .. http://tinyurl.com/9ch4ly,Jornal do Brasil,"Compartilhamos postagens de formadores de opinião, mesmo que não sejam nosso pensamento.  Whatsapp: 21 98372 2847",False,613323,640,149423,732,2526,5223,"Rio de Janeiro, Brasil",False,,,0,0,0,0,pt,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",,,,
1,2008-12-31 13:40:02+00:00,emtemporeal,"BC chinês prevê política monetária 'moderadamente flexível': Objetivo é estimular a economia em meio à crise.
E.. http://tinyurl.com/95cplo",Em Tempo Real,,False,978,0,1141318,0,86,7,,False,,,0,0,0,0,pt,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",,,,
2,2008-12-31 13:23:04+00:00,BolsaNoBolso,BC chines preve politica monetaria 'moderadamente flexivel' - Objetivo e estimular a economia em meio a crise. Em 20 http://twurl.nl/pdcf8a,BolsaNoBolso,"bovespa , bm&f , stock market , financial market , peabirus , mercado financeiro , money , brazil",False,598,16,116085,0,10,0,"Sao Paulo, SP, Brazil",False,,,0,0,0,0,pt,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",,,,
3,2008-12-23 15:28:52+00:00,investbolsa,"Hoje teremos, IPC – Semanal, Dados da Política Monetária e Crédito, PIB 3T, e Vendas de Imóveis",Bolsa de Valores,,False,21256,8361,27036,4,583,0,Brasil,False,,,0,0,0,0,pt,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",,,,
4,2008-12-21 07:53:24+00:00,marcelohsq,"Basicamente a #Crise decorre da ignorância do papel fundamental da morte da confiança, pois foi destruída pela política monetária EUA!",Marcelo Quiñónez,I always have a plan! ⚡️,False,588,1220,13897,517,20,219,"London, England",False,,,0,0,0,0,pt,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",,,,
5,2008-12-19 07:53:04+00:00,BolsaNoBolso,Serra critica politica monetaria do Banco Central - O governador paulista Jose Serra voltou a criticar a politica de http://twurl.nl/6vi4hz,BolsaNoBolso,"bovespa , bm&f , stock market , financial market , peabirus , mercado financeiro , money , brazil",False,598,16,116085,0,10,0,"Sao Paulo, SP, Brazil",False,,,0,0,0,0,pt,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",,,,
6,2008-12-18 13:30:46+00:00,gazetadopovo,"JUROS: Falta de crédito amplia efeitos da política monetária, diz Copom http://tinyurl.com/5yb7of",Gazeta do Povo,Clareza de convicções. Coragem no posicionamento.,True,573733,3784,291571,1974,1776,71140,Brasil,False,,,0,0,0,0,pt,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",,,,
7,2008-12-18 13:13:29+00:00,BolsaNoBolso,"Falta de credito amplia efeitos da politica monetaria, diz Copom http://twurl.nl/8ru5dg",BolsaNoBolso,"bovespa , bm&f , stock market , financial market , peabirus , mercado financeiro , money , brazil",False,598,16,116085,0,10,0,"Sao Paulo, SP, Brazil",False,,,0,0,0,0,pt,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",,,,
8,2008-12-18 11:34:11+00:00,BolsaNoBolso,"BC discutiu possibilidade de reduzir Selic em 0,25 ponto: A ata da reunião do Comitê de Política Monetária (Copo.. http://twurl.nl/nvfdsp",BolsaNoBolso,"bovespa , bm&f , stock market , financial market , peabirus , mercado financeiro , money , brazil",False,598,16,116085,0,10,0,"Sao Paulo, SP, Brazil",False,,,0,0,0,0,pt,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",,,,
9,2008-12-18 11:23:09+00:00,BolsaNoBolso,"Copom chegou a discutir corte de 0,25 pto da taxa de juro--ata - O Comite de Politica Monetaria (Copom) do Banco Cen http://twurl.nl/x11hog",BolsaNoBolso,"bovespa , bm&f , stock market , financial market , peabirus , mercado financeiro , money , brazil",False,598,16,116085,0,10,0,"Sao Paulo, SP, Brazil",False,,,0,0,0,0,pt,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",,,,
10,2008-12-18 11:23:06+00:00,BolsaNoBolso,"BC discutiu possibilidade de reduzir Selic em 0,25 ponto - A ata da reuniao do Comite de Politica Monetaria (Copom)  http://twurl.nl/u7q2yq",BolsaNoBolso,"bovespa , bm&f , stock market , financial market , peabirus , mercado financeiro , money , brazil",False,598,16,116085,0,10,0,"Sao Paulo, SP, Brazil",False,,,0,0,0,0,pt,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",,,,
11,2008-12-17 21:36:31+00:00,BolsaNoBolso,Bolsa de NY ainda digere nova política monetária do Fed: A Bolsa de Nova York passou a tarde alternando altas e .. http://twurl.nl/i57u3o,BolsaNoBolso,"bovespa , bm&f , stock market , financial market , peabirus , mercado financeiro , money , brazil",False,598,16,116085,0,10,0,"Sao Paulo, SP, Brazil",False,,,0,0,0,0,pt,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",,,,
12,2008-12-17 21:06:49+00:00,AEInvestimentos,Finanças - Bolsa de NY ainda digere nova política monetária do Fed: A Bolsa de Nova York passou a tar.. http://tinyurl.com/4cgppd,aeinvestimentos,Canal aberto com informação e orientação sobre oportunidade do mercado financeiro.,False,642,0,26302,0,40,0,Brasil,False,,,0,0,0,0,pt,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",,,,
13,2008-12-17 20:07:22+00:00,instmillenium,Vítor Wilher: Política monetária e economistas http://tinyurl.com/4s6dft,Instituto Millenium,Somos uma base de inteligência confiável que reúne informações e propõe questionamentos para você decidir os seus próprios caminhos.,False,35391,1416,17896,1034,364,1831,Rio de Janeiro,False,,,0,0,0,0,pt,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",,,,
