,datetime,username,content,display name,user description,verified,follower count,friends count,statuses count,favourites count,listed count,media count,location,protected,outlinks,tcooutlinks,reply count,retweet count,like count,quote count,lang,source,media,retweeted tweet,quoted tweet,mentioned users
0,2009-12-27 17:07:32+00:00,robertocampos_l,Feliz Natal a todos !!! e um Otimo Ano Novo !!,Roberto Campos,"Hi I'm Roberto, I am Brazilian.  I like the tv series and movies. I speak English, Spanish, French and Portuguese!",False,31,103,1920,17,2,272,,False,[],[],0,0,0,0,pt,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",,,,
1,2009-12-26 12:53:17+00:00,cida_moura,"""No socialismo as intenções são os melhores resultados. No capitalismo os resultados são melhores que a intenção.""
( Roberto Campos",cida moura,,False,15,43,1097,71,0,12,,False,[],[],0,0,1,0,pt,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",,,,
2,2009-12-24 01:12:42+00:00,_mulherdedeus,"Sorteio de um exemplar do livro ""Mentes Roubadas"" do Roberto Campos Pellanda http://br4.in/nDb4g",Mulher de Deus,,False,2537,832,8463,27,119,108,Brasil,False,[],[],0,2,0,0,pt,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",,,,
3,2009-12-22 14:58:46+00:00,Betalotti,"Quando cheguei ao Congresso, queria fazer o bem. Hoje acho que o que dá para fazer é evitar o mal. Roberto Campos",Beta Lotti,"Treinadora Mental, Reprogramadora vibracional, Empresária, Escritora",False,3856,206,16638,564,205,1325,"Florianópolis, Brasil",False,[],[],0,0,0,0,pt,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",,,,
4,2009-12-22 01:51:03+00:00,yurifp,"@humbertobn conversando sobre o capitalismo, Roberto Campos e essa política que privilegia os grandes bancos ! ! ! HA HA HA !",Yuri,"Faça o que eu tuíto, não tuíte o que eu faço.",False,164,933,20884,213,5,394,Terra Brasilis,False,[],[],0,0,0,0,pt,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",,,,"[User(username='humbertobn', id=49816846, displayname='Humberto Basso Neto', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]"
5,2009-12-21 17:22:58+00:00,robertocampos_l,2010 serah um ano melhor que 2009 !!,Roberto Campos,"Hi I'm Roberto, I am Brazilian.  I like the tv series and movies. I speak English, Spanish, French and Portuguese!",False,31,103,1920,17,2,272,,False,[],[],0,0,0,0,pt,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",,,,
6,2009-12-21 17:22:36+00:00,robertocampos_l,Uhuu ... !! EMO !!,Roberto Campos,"Hi I'm Roberto, I am Brazilian.  I like the tv series and movies. I speak English, Spanish, French and Portuguese!",False,31,103,1920,17,2,272,,False,[],[],0,0,0,0,pt,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",,,,
7,2009-12-21 17:21:28+00:00,robertocampos_l,"Acabo de completar ""Vc é nerd, popular, ou emo???"" e meu resultado foi: Emo! Experimente: http://bit.ly/8so2l8",Roberto Campos,"Hi I'm Roberto, I am Brazilian.  I like the tv series and movies. I speak English, Spanish, French and Portuguese!",False,31,103,1920,17,2,272,,False,[],[],0,0,0,0,pt,"<a href=""http://fun140.com/"" rel=""nofollow"">Fun140</a>",,,,
8,2009-12-21 17:05:17+00:00,robertocampos_l,por nada mais ... !! Depois de eu cair eu aprendi a levantar !!,Roberto Campos,"Hi I'm Roberto, I am Brazilian.  I like the tv series and movies. I speak English, Spanish, French and Portuguese!",False,31,103,1920,17,2,272,,False,[],[],0,0,0,0,pt,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",,,,
9,2009-12-20 16:48:55+00:00,gabrielsvreis,"UFF fdp. Fui pelo ano, sabia q costa e silva tinha começado o mandato em 67 e coloquei ele, mas Roberto Campos foi ministro d castello branc",Gabriel Soares Vianna Reis,"Casado c/ a @liasoares_s. Graduado em Comunicação pela @ufrj. Produção e Programação de Conteúdo no @CanalCurta. Antes: @SporTV, Esp. Interativo e @ortecsports.",False,497,1482,29101,3219,5,607,"Rio de Janeiro, Brasil",False,[],[],0,0,0,0,pt,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",,,,
